,movie,year,run_time,genre,rating,about,keywords
68,catch me if you can,2002,141 min,biography  crime  drama            ,8.1,barely 21 yet frank is a skilled forger who has passed as a doctor lawyer and pilot fbi agent carl becomes obsessed with tracking down the con man who only revels in the pursuit,barely 21 yet frank is a skilled forger who has passed as a doctor lawyer and pilot fbi agent carl becomes obsessed with tracking down the con man who only revels in the pursuit biography  crime  drama            
69,no country for old men,2007,122 min,crime  drama  thriller            ,8.1,violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the rio grande,violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the rio grande crime  drama  thriller            
70,se7en,1995,127 min,crime  drama  mystery            ,8.6,two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives,two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives crime  drama  mystery            
71,bohemian rhapsody,2018,134 min,biography  drama  music            ,7.9,the story of the legendary british rock band queen and lead singer freddie mercury leading up to their famous performance at live aid 1985,the story of the legendary british rock band queen and lead singer freddie mercury leading up to their famous performance at live aid 1985 biography  drama  music            
72,the fifth element,1997,126 min,action  adventure  sci-fi            ,7.7,in the colorful future a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep evil and mr zorg at bay,in the colorful future a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep evil and mr zorg at bay action  adventure  sci-fi            
73,the invisible guest,2016,106 min,crime  drama  mystery            ,8.1,a successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense,a successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense crime  drama  mystery            
74,jojo rabbit,2019,108 min,comedy  drama  war            ,7.9,a young boy in hitlers army finds out his mother is hiding a jewish girl in their home,a young boy in hitlers army finds out his mother is hiding a jewish girl in their home comedy  drama  war            
75,captain america: the winter soldier,2014,136 min,action  adventure  sci-fi            ,7.7,as steve rogers struggles to embrace his role in the modern world he teams up with a fellow avenger and shield agent black widow to battle a new threat from history an assassin known as the winter soldier,as steve rogers struggles to embrace his role in the modern world he teams up with a fellow avenger and shield agent black widow to battle a new threat from history an assassin known as the winter soldier action  adventure  sci-fi            
76,the avengers,2012,143 min,action  adventure  sci-fi            ,8.0,earths mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous loki and his alien army from enslaving humanity,earths mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous loki and his alien army from enslaving humanity action  adventure  sci-fi            
77,the prestige,2006,130 min,drama  mystery  sci-fi            ,8.5,after a tragic accident two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other,after a tragic accident two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other drama  mystery  sci-fi            
78,saving private ryan,1998,169 min,drama  war            ,8.6,following the normandy landings a group of us soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action,following the normandy landings a group of us soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action drama  war            
79,the green mile,1999,189 min,crime  drama  fantasy            ,8.6,the lives of guards on death row are affected by one of their charges a black man accused of child murder and rape yet who has a mysterious gift,the lives of guards on death row are affected by one of their charges a black man accused of child murder and rape yet who has a mysterious gift crime  drama  fantasy            
80,leon: the professional,1994,110 min,action  crime  drama            ,8.5,mathilda a 12yearold girl is reluctantly taken in by léon a professional assassin after her family is murdered an unusual relationship forms as she becomes his protégée and learns the assassins trade,mathilda a 12yearold girl is reluctantly taken in by léon a professional assassin after her family is murdered an unusual relationship forms as she becomes his protégée and learns the assassins trade action  crime  drama            
81,star wars: episode iv - a new hope,1977,121 min,action  adventure  fantasy            ,8.6,luke skywalker joins forces with a jedi knight a cocky pilot a wookiee and two droids to save the galaxy from the empires worlddestroying battle station while also attempting to rescue princess leia from the mysterious darth vader,luke skywalker joins forces with a jedi knight a cocky pilot a wookiee and two droids to save the galaxy from the empires worlddestroying battle station while also attempting to rescue princess leia from the mysterious darth vader action  adventure  fantasy            
82,skyfall,2012,143 min,action  adventure  thriller            ,7.7,james bonds loyalty to m is tested when her past comes back to haunt her when mi6 comes under attack 007 must track down and destroy the threat no matter how personal the cost,james bonds loyalty to m is tested when her past comes back to haunt her when mi6 comes under attack 007 must track down and destroy the threat no matter how personal the cost action  adventure  thriller            
83,fargo,1996,98 min,crime  drama  thriller            ,8.1,jerry lundegaards inept crime falls apart due to his and his henchmens bungling and the persistent police work of the quite pregnant marge gunderson,jerry lundegaards inept crime falls apart due to his and his henchmens bungling and the persistent police work of the quite pregnant marge gunderson crime  drama  thriller            
84,ford v. ferrari,2019,152 min,action  biography  drama            ,8.1,american car designer carroll shelby and driver ken miles battle corporate interference and the laws of physics to build a revolutionary race car for ford in order to defeat ferrari at the 24 hours of le mans in 1966,american car designer carroll shelby and driver ken miles battle corporate interference and the laws of physics to build a revolutionary race car for ford in order to defeat ferrari at the 24 hours of le mans in 1966 action  biography  drama            
85,hot fuzz,2007,121 min,action  comedy  mystery            ,7.8,a skilled london police officer is transferred to a small town with a dark secret,a skilled london police officer is transferred to a small town with a dark secret action  comedy  mystery            
86,there will be blood,2007,158 min,drama            ,8.2,a story of family religion hatred oil and madness focusing on a turnofthecentury prospector in the early days of the business,a story of family religion hatred oil and madness focusing on a turnofthecentury prospector in the early days of the business drama            
87,pride & prejudice,2005,129 min,drama  romance            ,7.8,sparks fly when spirited elizabeth bennet meets single rich and proud mr darcy but mr darcy reluctantly finds himself falling in love with a woman beneath his class can each overcome their own pride and prejudice,sparks fly when spirited elizabeth bennet meets single rich and proud mr darcy but mr darcy reluctantly finds himself falling in love with a woman beneath his class can each overcome their own pride and prejudice drama  romance            
88,a star is born,2018,136 min,drama  music  romance            ,7.6,a musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral,a musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral drama  music  romance            
89,spider-man: into the spider-verse,2018,117 min,animation  action  adventure            ,8.4,teen miles morales becomes the spiderman of his universe and must join with five spiderpowered individuals from other dimensions to stop a threat for all realities,teen miles morales becomes the spiderman of his universe and must join with five spiderpowered individuals from other dimensions to stop a threat for all realities animation  action  adventure            
90,snatch,2000,104 min,comedy  crime            ,8.3,unscrupulous boxing promoters violent bookmakers a russian gangster incompetent amateur robbers and supposedly jewish jewelers fight to track down a priceless stolen diamond,unscrupulous boxing promoters violent bookmakers a russian gangster incompetent amateur robbers and supposedly jewish jewelers fight to track down a priceless stolen diamond comedy  crime            
91,300,2006,117 min,action  drama            ,7.6,king leonidas of sparta and a force of 300 men fight the persians at thermopylae in 480 bc,king leonidas of sparta and a force of 300 men fight the persians at thermopylae in 480 bc action  drama            
92,aliens,1986,137 min,action  adventure  sci-fi            ,8.3,fiftyseven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures officer ripley awakens from hypersleep and tries to warn anyone who will listen about the predators,fiftyseven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures officer ripley awakens from hypersleep and tries to warn anyone who will listen about the predators action  adventure  sci-fi            
93,the irishman,2019,209 min,biography  crime  drama            ,7.8,hitman frank sheeran looks back at the secrets he kept as a loyal member of the bufalino crime family,hitman frank sheeran looks back at the secrets he kept as a loyal member of the bufalino crime family biography  crime  drama            
94,avatar,2009,162 min,action  adventure  fantasy            ,7.8,a paraplegic marine dispatched to the moon pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home,a paraplegic marine dispatched to the moon pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home action  adventure  fantasy            
95,rush,2013,123 min,action  biography  drama            ,8.1,the merciless 1970s rivalry between formula one rivals james hunt and niki lauda,the merciless 1970s rivalry between formula one rivals james hunt and niki lauda action  biography  drama            
96,little women,2019,135 min,drama  romance            ,7.8,jo march reflects back and forth on her life telling the beloved story of the march sisters  four young women each determined to live life on her own terms,jo march reflects back and forth on her life telling the beloved story of the march sisters  four young women each determined to live life on her own terms drama  romance            
97,dunkirk,2017,106 min,action  drama  history            ,7.8,allied soldiers from belgium the british commonwealth and empire and france are surrounded by the german army and evacuated during a fierce battle in world war ii,allied soldiers from belgium the british commonwealth and empire and france are surrounded by the german army and evacuated during a fierce battle in world war ii action  drama  history            
98,stardust,2007,127 min,adventure  family  fantasy            ,7.6,in a countryside town bordering on a magical land a young man makes a promise to his beloved that hell retrieve a fallen star by venturing into the magical realm,in a countryside town bordering on a magical land a young man makes a promise to his beloved that hell retrieve a fallen star by venturing into the magical realm adventure  family  fantasy            
99,the lord of the rings: the return of the king,2003,201 min,action  adventure  drama            ,8.9,gandalf and aragorn lead the world of men against saurons army to draw his gaze from frodo and sam as they approach mount doom with the one ring,gandalf and aragorn lead the world of men against saurons army to draw his gaze from frodo and sam as they approach mount doom with the one ring action  adventure  drama            
100,the grand budapest hotel,2014,99 min,adventure  comedy  crime            ,8.1,a writer encounters the owner of an aging highclass hotel who tells him of his early years serving as a lobby boy in the hotels glorious years under an exceptional concierge,a writer encounters the owner of an aging highclass hotel who tells him of his early years serving as a lobby boy in the hotels glorious years under an exceptional concierge adventure  comedy  crime            
